# Human verdicts for flipped subject-element pairs (css-cascade-check.mjs compare).
# Format: "disjoint <selA> | <selB>" (containers never nest in the DOM; source-order flip
# between them is unobservable) or "tie <selA> | <selB>" (they CAN style the same element;
# any flip is a regression). Selectors are sorted lexically within a line.
#
# This file is the recorded half of issue #120's "each rule move specificity-checked".
# A verdict must cite real DOM structure, not hope. Evidence for the entries below:
#
# - Every StressLab lab is a sibling <section> (StressLab.tsx): stress-matrix,
#   system-check-*, compression-lab, failure-lab, package-lab, format-lab (contains
#   format-executable + capacity-table), telemetry-lab (contains telemetry-table,
#   motion-telemetry, telemetry-disclosure). The dependency explorer (dependency-file-tree,
#   dependency-folder, dependency-file-inspector) renders only inside package-lab, so no
#   element sits under two labs at once, and "X > child" pairs with distinct parents are
#   disjoint by the child combinator alone.
# - difference-modebar, heavy-asset-filterbar, scene-modebar, subasset-match-* exist only
#   in ProductWorkspace.tsx views that never render inside StressLab, and none of them
#   renders StressLab inside itself.
#
# The one documented genuine tie (styles/index.css header): ownership-facts nests inside
# the asset inspector, so their dt rules really do co-match.
tie .local-asset-inspector dt | .local-ownership-facts dt

disjoint .compression-lab>header | .dependency-file-inspector>header
disjoint .dependency-file-inspector>header | .failure-lab>header
disjoint .dependency-file-inspector>header | .format-lab>header
disjoint .dependency-file-inspector>header | .package-lab>header
disjoint .dependency-file-tree>button | .stress-matrix>button
disjoint .dependency-folder>button | .stress-matrix>button
disjoint .dependency-file-inspector>header | .stress-matrix>header
disjoint .dependency-file-inspector>header | .telemetry-lab>header
disjoint .capacity-table>div | .dependency-file-inspector>div
disjoint .dependency-file-inspector dl | .format-executable dl
disjoint .dependency-file-inspector dl | .motion-telemetry dl
disjoint .dependency-file-inspector>div | .motion-telemetry>div
disjoint .dependency-file-inspector>div | .telemetry-table>div
disjoint .dependency-file-inspector>header strong | .format-executable article>strong
disjoint .dependency-file-inspector>header strong | .motion-telemetry>div>strong
disjoint .dependency-file-inspector>header strong | .subasset-match-panel header strong
disjoint .dependency-file-inspector>header | .subasset-match-panel>header
disjoint .dependency-file-inspector>p strong | .format-executable article>strong
disjoint .dependency-file-inspector>p strong | .motion-telemetry>div>strong
disjoint .dependency-file-inspector>p strong | .subasset-match-panel header strong
disjoint .dependency-file-inspector>p | .telemetry-disclosure p
disjoint .dependency-file-inspector>p | .telemetry-table p
disjoint .dependency-file-tree button strong | .format-executable article>strong
disjoint .dependency-file-tree button strong | .motion-telemetry>div>strong
disjoint .dependency-file-tree button strong | .subasset-match-panel header strong
disjoint .dependency-file-tree button.selected | .difference-modebar button[aria-pressed=true]
disjoint .dependency-file-tree button.selected | .difference-modebar--comparison button[aria-pressed=true]
disjoint .dependency-file-tree button:hover | .difference-modebar button[aria-pressed=true]
